
Do I Wanna Know?,2013-05-22,https://i.ytimg.com/vi/bpOSxM0rNPM/hqdefault.jpg,Arctic Monkeys,spotify:track:5FVd6KXrgO9B3JPmC8OPst
R U Mine?,2013-05-22,https://i.ytimg.com/vi/bpOSxM0rNPM/hqdefault.jpg,Arctic Monkeys,spotify:track:2AT8iROs4FQueDv2c8q2KE
Why'd Tou Only Call Me When You're High?,2013-05-22,https://i.ytimg.com/vi/bpOSxM0rNPM/hqdefault.jpg,Arctic Monkeys,spotify:track:086myS9r57YsLbJpU0TgK9
Somewhere Only We Know,2004-02-16,https://m.media-amazon.com/images/I/61ZFZBLfp7L._SS500_.jpg,Keane,spotify:track:1SKPmfSYaPsETbRHaiA18G
Everybody's Changing,2004-05-03,https://m.media-amazon.com/images/I/61ZFZBLfp7L._SS500_.jpg,Keane,spotify:track:0yac0FPhLRH9i9lOng3f81
This is the Last Time,2003-10-13,https://m.media-amazon.com/images/I/61ZFZBLfp7L._SS500_.jpg,Keane,spotify:track:6IVlHRrjTKep5SS9kbcpTa
Sign of the times,2017-01-01,https://images-na.ssl-images-amazon.com/images/I/71KkhyFgrwL._SX466_.jpg,Harry Styles,spotify:track:5Ohxk2dO5COHF1krpoPigN
Perfect,2017-11-09,https://images-na.ssl-images-amazon.com/images/I/71E7pDcZoYL._SL1200_.jpg,Ed Sheeran,spotify:track:0tgVpDi06FyKpA1z0VMD4v
Intentions,2020-02-07,https://i.scdn.co/image/ab67706c0000da84d73585fc6b32b5c1805927d6,Justin Bieber,spotify:track:4umIPjkehX1r7uhmGvXiSV
Havana,2017-08-03,https://images-na.ssl-images-amazon.com/images/I/718N-kN%2BmnL._SL1200_.jpg,Camila Cabello,spotify:track:1rfofaqEpACxVEHIZBJe6W
Circles,2019-09-17,https://images-na.ssl-images-amazon.com/images/I/41etecSUOSL._SX342_QL70_ML2_.jpg,Post Malone,spotify:track:21jGcNKet2qwijlDFuPiPb
Amarillo,2020-03-19,https://images.genius.com/cc7461c067b5a3c29aa961e742077c54.1000x1000x1.jpg,J Balvin,spotify:track:6zEgnpM0qYmHLDnh8WPejL
Azul,2020-03-19,https://images.genius.com/cc7461c067b5a3c29aa961e742077c54.1000x1000x1.jpg,J Balvin,spotify:track:2lCkncy6bIB0LTMT7kvrD1
Rojo,2020-03-19,https://images.genius.com/cc7461c067b5a3c29aa961e742077c54.1000x1000x1.jpg,J Balvin,spotify:track:380HmhwTE2NJgawn1NwkXi
Rosa,2020-03-19,https://images.genius.com/cc7461c067b5a3c29aa961e742077c54.1000x1000x1.jpg,J Balvin,spotify:track:464uJVLmr0fDJGXOnciaDe
