
Do I Wanna Know?,2013-05-22,https://i.ytimg.com/vi/bpOSxM0rNPM/hqdefault.jpg,Arctic Monkeys,spotify:track:5FVd6KXrgO9B3JPmC8OPst
R U Mine?,2013-05-22,https://i.ytimg.com/vi/bpOSxM0rNPM/hqdefault.jpg,Arctic Monkeys,spotify:track:2AT8iROs4FQueDv2c8q2KE
Why'd Tou Only Call Me When You're High?,2013-05-22,https://i.ytimg.com/vi/bpOSxM0rNPM/hqdefault.jpg,Arctic Monkeys,spotify:track:086myS9r57YsLbJpU0TgK9
Somewhere Only We Know,2004-02-16,https://m.media-amazon.com/images/I/61ZFZBLfp7L._SS500_.jpg,Keane,spotify:track:1SKPmfSYaPsETbRHaiA18G
Everybody's Changing,2004-05-03,https://m.media-amazon.com/images/I/61ZFZBLfp7L._SS500_.jpg,Keane,spotify:track:0yac0FPhLRH9i9lOng3f81
This is the Last Time,2003-10-13,https://m.media-amazon.com/images/I/61ZFZBLfp7L._SS500_.jpg,Keane,spotify:track:6IVlHRrjTKep5SS9kbcpTa
Sign of the times,2017-01-01,https://images-na.ssl-images-amazon.com/images/I/71KkhyFgrwL._SX466_.jpg,Harry Styles,spotify:track:5Ohxk2dO5COHF1krpoPigN
